gameDuration;winner;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;t1_towerKills;t1_inhibitorKills;t1_baronKills;t1_dragonKills;t1_riftHeraldKills;t2_towerKills;t2_inhibitorKills;t2_baronKills;t2_dragonKills;t2_riftHeraldKills
1949;1;2;1;1;1;1;2;11;1;2;3;0;5;0;0;1;1
1851;1;1;1;1;0;1;1;10;4;0;2;1;2;0;0;0;0
1493;1;2;1;1;1;2;0;8;1;1;1;0;2;0;0;1;0
1758;1;1;1;1;1;1;0;9;2;1;2;0;0;0;0;0;0
2094;1;2;1;1;1;1;0;9;2;1;3;0;3;0;0;1;0
2059;1;2;2;1;1;2;0;8;1;1;1;0;6;0;0;3;0
1993;1;1;2;1;1;1;1;10;2;1;2;1;2;0;0;0;0
1334;1;1;1;0;0;2;1;6;0;0;0;1;0;0;0;2;0
1387;2;2;2;2;0;2;2;0;0;0;0;0;8;1;0;2;1
2681;2;2;2;2;2;2;0;10;1;0;2;0;8;3;1;2;0
1391;2;2;2;2;2;2;2;0;0;0;1;0;10;2;1;1;1
1671;1;1;2;1;0;2;1;10;1;0;0;1;2;0;0;2;0
2071;1;1;1;0;1;2;1;6;0;1;2;1;3;0;0;1;0
1942;1;2;2;1;0;1;0;7;1;0;1;0;3;0;0;2;0
2374;2;2;2;1;1;2;0;8;1;1;2;0;9;2;0;2;0
1717;1;2;1;1;0;1;0;7;1;0;2;0;0;0;0;0;0
2390;2;2;2;2;2;2;0;3;0;0;1;0;9;3;2;4;0
1994;1;2;1;1;1;1;1;11;6;1;2;1;2;0;0;0;0
1513;2;1;2;2;0;2;0;0;0;0;0;0;11;3;0;2;0
1898;2;1;2;2;2;1;1;4;0;0;3;1;11;2;1;1;0
2026;2;1;1;1;2;1;2;5;1;0;1;0;11;3;1;2;1
1962;2;1;2;2;2;1;0;2;0;0;1;0;9;1;1;2;0
1511;2;1;2;2;0;2;0;2;0;0;0;0;10;2;0;2;0
1756;1;1;1;1;1;1;1;11;3;1;3;1;2;0;0;0;0
2173;2;2;2;2;0;1;0;2;0;0;1;0;11;3;0;0;0
2211;2;2;2;2;0;2;1;2;0;0;0;1;10;2;0;3;0
2472;2;2;2;1;1;2;2;10;3;1;2;0;10;2;1;3;1
1342;2;2;2;0;0;2;0;0;0;0;0;0;5;0;0;2;0
2288;2;1;2;2;2;2;2;4;0;0;1;0;7;2;1;3;1
1899;1;1;1;1;1;1;1;10;3;1;2;1;2;0;0;1;0
1597;2;2;1;2;2;1;1;4;0;0;2;1;9;1;1;0;0
1649;1;1;1;1;2;1;0;9;2;0;2;0;0;0;1;0;0
1894;1;1;1;1;2;1;0;10;2;0;2;0;1;0;1;1;0
2473;1;1;2;2;2;2;0;11;3;1;2;0;7;1;1;3;0
2452;2;1;1;2;2;1;1;3;0;0;3;1;11;3;1;1;0
1478;2;2;2;2;0;2;0;1;0;0;0;0;11;3;0;1;0
1505;2;2;2;2;0;2;0;2;0;0;0;0;10;2;0;2;0
2112;1;1;1;1;0;1;0;10;2;0;2;0;0;0;0;1;0
2054;1;2;1;1;0;1;0;10;2;0;4;0;3;0;0;0;0
1349;1;2;1;1;0;1;1;8;1;0;2;1;0;0;0;0;0
2309;2;2;1;2;2;1;2;5;0;0;3;0;10;1;2;1;1
1329;2;2;2;2;0;2;2;0;0;0;0;0;11;3;0;1;1
1800;1;2;1;1;1;1;1;8;1;1;2;1;4;0;0;1;0
932;2;2;2;2;0;2;0;0;0;0;0;0;6;1;0;1;0
2166;2;1;2;1;1;1;1;6;3;1;2;1;8;1;1;1;0
1994;1;1;2;1;0;2;0;9;2;0;2;0;2;0;0;1;0
2048;1;1;2;1;2;2;2;8;2;1;1;0;2;0;1;1;1
1461;2;2;2;2;0;2;1;2;0;0;0;1;8;2;0;2;0
2302;2;2;1;2;2;2;2;4;0;0;0;0;9;2;1;3;1
2237;2;2;2;1;1;1;2;7;1;1;2;0;9;1;1;1;1
2555;2;1;1;2;1;1;1;5;1;1;4;1;11;4;1;1;0
1026;1;1;1;1;0;1;0;9;2;0;1;0;1;0;0;0;0
1303;2;2;2;2;2;2;2;1;0;0;0;0;7;1;1;2;1
1843;1;1;1;1;0;1;1;11;4;0;3;1;0;0;0;0;0
1691;2;1;2;2;1;1;2;4;0;1;1;0;7;1;0;2;1
1875;1;1;1;1;0;2;0;11;3;0;1;0;1;0;0;1;0
1413;2;2;2;2;2;2;2;1;0;0;0;0;9;1;1;2;1
1682;1;1;1;1;1;2;1;9;2;1;1;1;0;0;0;1;0
1640;2;2;2;2;0;2;0;1;0;0;0;0;9;2;0;2;0
1925;1;1;1;1;1;1;0;7;1;1;2;0;2;0;0;0;0
1816;1;1;2;1;1;1;1;11;4;1;3;1;1;0;0;0;0
1070;1;1;1;1;0;1;1;10;2;0;2;1;0;0;0;0;0
1633;2;2;2;2;2;2;2;0;0;0;0;0;10;3;1;3;1
2169;2;2;2;2;0;1;1;4;0;0;2;1;8;1;0;2;0
197;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1261;1;1;1;0;0;1;1;4;0;0;1;1;0;0;0;0;0
2493;1;1;1;1;0;2;0;10;2;0;3;0;2;0;0;1;0
2259;1;2;1;1;1;2;2;10;3;2;2;0;4;0;0;3;1
1697;2;1;2;2;2;2;0;1;0;0;0;0;7;1;1;2;0
1723;1;2;1;1;1;1;0;11;3;1;1;0;1;0;0;0;0
1643;2;1;2;2;2;2;2;1;0;0;0;0;11;3;1;2;1
2187;2;1;2;2;2;2;2;4;0;0;0;0;10;2;1;4;1
1590;1;2;1;1;1;2;1;9;2;1;1;1;1;0;0;1;0
1638;1;1;1;1;1;1;1;11;3;1;3;1;1;0;0;0;0
2147;2;1;2;2;2;2;0;6;0;0;0;0;10;2;1;3;0
